schemeCode,schemeName,isinGrowth,isinDivReinvestment
130496,HDFC Large and Mid Cap Fund - Growth Option,INF179KA1RT1,
130498,HDFC Large and Mid Cap Fund - Growth Option - Direct Plan,INF179KA1RQ7,
130502,HDFC Small Cap Fund - Growth Option,INF179KA1RZ8,
130503,HDFC Small Cap Fund - Growth Option - Direct Plan,INF179KA1RW5,
131163,UTI Multi Cap Fund - Growth Option,,
131164,UTI Multi Cap Fund - Growth Option - Direct,,
131526,Aditya Birla Sun Life Focused Equity Fund - Series 3 - Direct Plan - Growth,,
131527,Aditya Birla Sun Life Focused Equity Fund - Series 3 - Regular Plan - Growth,,
131578,360 ONE Focused Fund -Regular Plan - Growth,INF579M01878,
131580,360 ONE Focused Fund-Direct Plan-Growth,INF579M01902,
132756,Tata ELSS Fund-Growth-Direct Plan,INF277K01I86,
132757,Tata ELSS Fund-Growth-Regular Plan,INF277K01I52,
132983,Sundaram Select Small Cap Series II Regular Growth,,
132985,Sundaram Select Small Cap Series II Direct Growth,,
133102,Aditya Birla Sun Life Focused Equity Fund - Series 4 - Regular Plan - Growth,,
133105,Aditya Birla Sun Life Focused Equity Fund - Series 4 - Direct Plan - Growth,,
133144,DWS Mid Cap Fund - Series 1 - Direct Plan - Growth,,
133146,DWS Mid Cap Fund - Series 1 - Regular Plan - Growth,,
133318,Sundaram Value Fund Series I Regular Plan Growth,,
133320,Sundaram Value Fund Series I Direct Growth,,
133385,Motilal Oswal ELSS Tax Saver Fund - Regular Plan - Growth Option,INF247L01544,
133386,Motilal Oswal ELSS Tax Saver Fund - Direct Plan - Growth Option,INF247L01569,
133527,HDFC FOCUSED EQUITY FUND - Regular Plan - Growth Option,,
133529,HDFC FOCUSED EQUITY FUND - Direct Plan - Growth Option,,
133557,Sundaram Value Fund Series II Regular Plan Growth,,
133559,Sundaram Value Fund Series II Direct Plan Growth,,
133710,LIC MF Large & Mid Cap Fund-Direct Plan-Growth,INF767K01NE9,
133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth,INF767K01NB5,
133836,PGIM India Flexi Cap Fund - Regular Plan - Growth Option,INF663L01FJ3,
133839,PGIM India Flexi Cap Fund - Direct Plan - Growth Option,INF663L01FF1,
133896,Aditya Birla Sun Life Focused Equity Fund - Series 5 - Regular Plan - Growth,,
133897,Aditya Birla Sun Life Focused Equity Fund - Series 5 - Direct Plan - Growth,,
134001,DWS Large Cap Fund - Series 1 - Direct Plan - Growth,,
134002,DWS Large Cap Fund - Series 1 - Regular Plan - Growth,,
134044,Baroda ELSS 96 Plan A -Growth Option,,
134045,Baroda ELSS 96 Plan B(Direct) -Growth Option,,
134133,DWS Large Cap Fund - Series 2 - Regular Plan - Growth,,
134134,DWS Large Cap Fund - Series 2 - Direct Plan - Growth,,
134295,Sundaram Select Small Cap Series III Regular Growth,,
134297,Sundaram Select Small Cap Series III Direct Growth,,
134334,HDFC Focused Equity Fund - Plan B - Direct Plan - Growth Option,,
134336,HDFC Focused Equity Fund - Plan B - Regular Plan - Growth Option,,
134371,Sundaram Select Small Cap Series IV - Regular Growth,,
134373,Sundaram Select Small Cap Series IV - Direct Growth,,
134413,DWS Large Cap Fund - Series 3 - Direct Plan - Growth,,
134415,DWS Large Cap Fund - Series 3 - Regular Plan - Growth,,
135341,Groww Value Fund (formerly known as Indiabulls Value Fund) - Direct Plan - Growth Option,INF666M01BE4,
135343,Groww Value Fund (formerly known as Indiabulls Value Fund) - Regular Plan - Growth Option,INF666M01BH7,
135349,Aditya Birla Sun Life Focused Equity Fund - Series 6 - Regular Plan-Growth,,
135351,Aditya Birla Sun Life Focused Equity Fund - Series 6-Direct Plan-Growth,,
135598,PGIM India ELSS Tax Saver Fund - Regular Plan - Growth Option,INF663L01FQ8,
135601,PGIM India ELSS Tax Saver Fund - Direct Plan - Growth Option,INF663L01FN5,
135654,Navi ELSS Tax Saver Fund- Direct Plan- Growth Option,INF959L01CD5,
135655,Navi ELSS Tax Saver Fund- Regular Plan- Growth Option,INF959L01CF0,
135677,Navi Large & Midcap Fund- Direct Plan- Growth Option,INF959L01CH6,
135678,Navi Large & Midcap Fund- Regular Plan- Growth Option,INF959L01CK0,
135781,Mirae Asset ELSS Tax Saver Fund - Direct Plan - Growth,INF769K01DM9,
135784,Mirae Asset ELSS Tax Saver Fund - Regular Plan - Growth,INF769K01DK3,
136086,Sundaram Value Fund Series III Regular Plan Growth,,
136088,Sundaram Value Fund Series  Direct Plan Growth,,
138308,PGIM India Large Cap Fund - Growth,INF663L01GW4,
138310,DHFL Pramerica Large Cap Fund Wealth Plan - Growth Option,,
138312,PGIM India Large Cap Fund - Direct Plan - Growth,INF663L01GR4,
138950,DHFL Pramerica Mid Cap Fund - Series 1 - Direct Plan - Growth,,
138952,DHFL Pramerica Mid Cap Fund - Series 1 - Regular Plan - Growth,,
138986,DHFL Pramerica Large Cap Fund - Series 1 - Direct Plan - Growth,,
138987,DHFL Pramerica Large Cap Fund - Series 1 - Regular Plan - Growth,,
138990,PGIM India Large Cap Fund - Series 2 - Regular Plan - Growth,,
138991,PGIM India Large Cap Fund - Series 2 - Direct Plan - Growth,,
139017,DHFL Pramerica Large Cap Fund - Series 3 - Direct Plan - Growth,,
139019,DHFL Pramerica Large Cap Fund - Series 3 - Regular Plan - Growth,,
139781,Mahindra Manulife ELSS Tax Saver Fund - Direct Plan -Growth,INF174V01093,
139783,Mahindra Manulife ELSS Tax Saver Fund- Regular Plan - Growth,INF174V01077,
140172,Edelweiss Large & Mid Cap Fund - Regular Plan - Growth Option,INF843K01047,
140175,Edelweiss Large & Mid Cap Fund - Direct Plan - Growth Option,INF843K01AL0,
140225,Edelweiss Mid Cap Fund - Regular Plan - Growth Option,INF843K01013,
140228,Edelweiss Mid Cap Fund - Direct Plan - Growth Option,INF843K01AO4,
140353,Edelweiss Flexi Cap Fund - Direct Plan - Growth Option,INF843K01KK1,
140355,Edelweiss Flexi Cap Fund - Regular Plan - Growth Option,INF843K01KN5,
140659,Sundaram Value Fund Series VII Regular Plan - Growth,,
140660,Sundaram Value Fund Series VII Direct Plan - Growth,,
141068,Quantum Value Fund - Regular Plan Growth Option,INF082J01242,
141070,Quantum ELSS Tax Saver Fund - Regular Plan Growth Option,INF082J01366,
141224,Mahindra Manulife Multi Cap Fund - Regular Plan - Growth,INF174V01317,
141226,Mahindra Manulife Multi Cap Fund - Direct Plan -Growth,INF174V01341,
141339,Sundaram Value Fund Series VIII Regular Plan - Growth,,
141342,Sundaram Value Fund Series VIII Direct Plan - Growth,,
141462,IDBI Small Cap Fund Growth Regular,,
141475,IDBI Small Cap Fund - Growth Direct,,
141499,Sundaram Select Small Cap Series V Direct Plan - Growth,,
141501,Sundaram Select Small Cap Series V Regular Plan - Growth,,
141561,Sundaram Select Small Cap Series VI Direct Plan - Growth,,
141563,Sundaram Select Small Cap Series VI Regular Plan - Growth,,
141808,Groww ELSS Tax Saver Fund (formerly known as Indiabulls Tax Savings Fund)- Direct Plan- Growth Option,INF666M01DK7,
141812,BNP Paribas Focused 25 Equity Fund - Regular Plan-Growth Option,,
141813,BNP Paribas Focused 25 Equity Fund - Direct Plan - Growth Option,,
